	user_id	post_id	like	food_type	totalLikes
1	419	649	0	Salted Caramel Cheescake	7
2	135	649	1	Salted Caramel Cheescake	7
3	254	649	0	Salted Caramel Cheescake	7
4	418	649	1	Salted Caramel Cheescake	7
5	974	649	0	Salted Caramel Cheescake	7
6	364	649	1	Salted Caramel Cheescake	7
7	408	444	0	Brown Stew Chicken	8
8	224	350	1	Lamb and Potato pie	8
9	166	350	0	Lamb and Potato pie	8
10	337	350	1	Lamb and Potato pie	8
11	494	306	1	Honey Yogurt Cheesecake	11
12	127	306	1	Honey Yogurt Cheesecake	11
13	929	306	0	Honey Yogurt Cheesecake	11
14	824	185	1	Chicken Fajita Mac and Cheese	7
15	51	169	1	Pad See Ew	5
16	738	717	0	Chilli prawn linguine	6
17	504	717	1	Chilli prawn linguine	6
21	860	101	1	Tonkatsu pork	6
22	41	101	1	Tonkatsu pork	6
23	221	101	0	Tonkatsu pork	6
24	204	838	0	Chilli prawn linguine	6
25	89	797	0	Smoked Haddock Kedgeree	17
26	120	797	0	Smoked Haddock Kedgeree	17
27	395	797	0	Smoked Haddock Kedgeree	17
28	281	797	0	Smoked Haddock Kedgeree	17
29	433	261	0	Ribollita	14
30	836	855	0	Chocolate Gateau	5
31	173	233	1	Chicken Congee	4
32	179	233	0	Chicken Congee	4
33	815	233	0	Chicken Congee	4
34	336	18	0	Matar Paneer	5
35	346	358	1	Yaki Udon	7
36	407	358	0	Yaki Udon	7
37	723	358	0	Yaki Udon	7
38	279	204	1	Cevapi Sausages	6
39	229	844	1	Kung Po Prawns	8
40	101	969	1	Lamb and Potato pie	8
41	289	969	1	Lamb and Potato pie	8
42	126	948	1	Spicy Arrabiata Penne	14
43	509	948	0	Spicy Arrabiata Penne	14
44	204	948	1	Spicy Arrabiata Penne	14
45	810	40	1	Tuna Nicoise	4
46	44	40	0	Tuna Nicoise	4
47	79	660	1	Three-cheese souffles	6
48	697	702	1	Polskie Naleśniki (Polish Pancakes)	6
49	690	702	0	Polskie Naleśniki (Polish Pancakes)	6
50	536	702	0	Polskie Naleśniki (Polish Pancakes)	6
51	832	313	0	Cream Cheese Tart	7
52	457	313	1	Cream Cheese Tart	7
53	487	313	0	Cream Cheese Tart	7
54	895	517	0	Chocolate Raspberry Brownies	8
56	760	646	1	Salmon Eggs Eggs Benedict	14
57	401	726	1	Chivito uruguayo	6
58	524	726	1	Chivito uruguayo	6
59	837	762	0	Nanaimo Bars	6
60	457	762	0	Nanaimo Bars	6
61	431	697	1	Honey Teriyaki Salmon	7
62	545	564	1	Hot Chocolate Fudge	4
63	734	564	1	Hot Chocolate Fudge	4
64	670	564	0	Hot Chocolate Fudge	4
65	214	751	1	Grilled Mac and Cheese Sandwich	5
